upper_ns,count
671,5
719,7
751,13
799,15
815,1
847,37
863,5
879,80
895,4
927,66
943,5
959,68
975,1
1007,83
1023,3
1055,71
1087,74
1119,3
1151,86
1183,145
1215,157
1247,3
1279,124
1311,104
1343,90
1375,93
1407,4
1439,106
1471,74
1503,127
1535,11
1567,161
1599,140
1631,117
1663,6
1695,107
1727,113
1759,133
1791,56
1823,74
1855,126
1887,114
1919,118
1951,10
1983,105
2015,89
2047,95
2111,87
2175,151
2239,75
2303,155
2367,68
2431,103
2495,64
2559,122
2623,58
2687,98
2751,94
2815,63
2879,117
2943,48
3007,75
3071,50
3135,84
3199,38
3263,79
3327,40
3391,81
3455,39
3519,72
3583,45
3647,34
3711,45
3775,35
3839,45
3903,21
3967,40
4031,28
4095,47
4223,51
4351,75
4479,72
4607,54
4735,61
4863,57
4991,47
5119,73
5247,78
5375,84
5503,81
5631,75
5759,81
5887,94
6015,118
6143,138
6271,105
6399,137
6527,155
6655,147
6783,175
6911,220
7039,207
7167,357
7295,303
7423,350
7551,402
7679,429
7807,451
7935,543
8063,516
8191,493
8447,1025
8703,924
8959,832
9215,684
9471,544
9727,511
9983,418
10239,409
10495,312
10751,363
11007,282
11263,241
11519,262
11775,217
12031,241
12287,211
12543,251
12799,237
13055,232
13311,229
13567,198
13823,191
14079,186
14335,211
14591,181
14847,176
15103,161
15359,133
15615,135
15871,130
16127,94
16383,119
16895,217
17407,190
17919,210
18431,181
18943,176
19455,166
19967,167
20479,178
20991,147
21503,129
22015,129
22527,151
23039,114
23551,120
24063,116
24575,115
25087,92
25599,97
26111,114
26623,95
27135,112
27647,133
28159,131
28671,150
29183,131
29695,158
30207,144
30719,160
31231,185
31743,177
32255,156
32767,133
33791,281
34815,212
35839,176
36863,128
37887,104
38911,105
39935,98
40959,103
41983,89
43007,72
44031,78
45055,77
46079,98
47103,145
48127,168
49151,182
50175,216
51199,224
52223,142
53247,113
54271,105
55295,73
56319,60
57343,66
58367,55
59391,48
60415,48
61439,51
62463,53
63487,47
64511,32
65535,43
67583,127
69631,220
71679,381
73727,273
75775,69
77823,41
79871,33
81919,31
83967,24
86015,24
88063,21
90111,19
92159,22
94207,18
96255,16
98303,15
100351,19
102399,13
104447,12
106495,12
108543,14
110591,5
112639,9
114687,7
116735,5
118783,8
120831,10
122879,5
124927,2
126975,6
129023,5
131071,9
135167,14
139263,12
143359,12
147455,8
151551,10
155647,7
159743,3
163839,6
167935,10
172031,17
176127,9
180223,4
184319,5
188415,6
192511,6
196607,3
200703,4
204799,4
208895,7
212991,10
217087,5
221183,5
225279,2
229375,4
233471,2
237567,4
241663,4
245759,2
249855,2
253951,10
258047,1
262143,6
270335,5
278527,4
286719,4
294911,4
303103,9
311295,5
319487,6
327679,5
335871,5
344063,8
352255,7
360447,3
368639,2
376831,7
385023,4
393215,2
401407,1
417791,4
425983,3
434175,1
442367,1
450559,2
458751,2
466943,4
475135,1
491519,3
499711,2
507903,2
516095,4
524287,1
540671,3
557055,5
589823,4
606207,1
638975,3
655359,5
671743,1
688127,1
704511,2
737279,1
753663,4
786431,3
802815,1
819199,3
835583,2
868351,3
901119,2
933887,1
950271,1
966655,1
983039,1
999423,1
1015807,2
1032191,2
1081343,3
1114111,4
1146879,2
1179647,1
1212415,1
1245183,1
1310719,2
1409023,1
1474559,1
1540095,1
1638399,2
1703935,2
1802239,2
1867775,1
1998847,1
2031615,1
2064383,1
2162687,1
2228223,1
2359295,1
2424831,2
2621439,1
2818047,1
2883583,1
2949119,2
3145727,1
3276799,1
3407871,1
3538943,1
3735551,2
4063231,2
4194303,2
4456447,3
4587519,1
4718591,1
4849663,1
5898239,1
6160383,1
6291455,1
6815743,1
7471103,1
8912895,1
9699327,1
10223615,2
