upper_ns,count
0,351446
17,14
18,8
41,15246
42,30670
58,17
59,8
60,1
83,847
85,449
101,2
125,693
143,1
167,323
187,1
211,165
251,82
295,65
311,1
335,29
375,19
423,8
463,3
503,7
543,6
591,1
639,2
671,8
719,5
751,9
799,14
815,2
847,12
879,28
895,1
927,27
943,3
959,37
975,2
1007,27
1023,2
1055,18
1087,31
1119,3
1151,19
1183,15
1215,14
1247,5
1279,16
1311,22
1343,17
1375,7
1439,3
1503,6
1567,1
1599,5
1631,5
1695,3
1727,1
2303,2
2687,3
2751,1
2815,1
2879,3
2943,1
3775,3
4031,2
4351,2
5247,2
6655,3
6911,1
7039,8
7167,1
7295,2
7423,1
7679,3
9471,4
10239,4
10495,2
10751,1
14335,2
25599,2
27135,4
88063,2
