upper_ns,count
13311,1
13567,3
13823,6
14079,10
14335,16
14591,18
14847,26
15103,35
15359,46
15615,45
15871,62
16127,93
16383,109
16895,336
17407,473
17919,756
18431,810
18943,849
19455,1200
19967,1933
20479,2688
20991,3767
21503,5280
22015,4440
22527,2967
23039,1468
23551,654
24063,406
24575,290
25087,276
25599,181
26111,149
26623,116
27135,87
27647,112
28159,75
28671,87
29183,89
29695,90
30207,85
30719,99
31231,101
31743,104
32255,93
32767,80
33791,196
34815,229
35839,183
36863,159
37887,140
38911,149
39935,155
40959,132
41983,185
43007,250
44031,320
45055,352
46079,253
47103,176
48127,180
49151,234
50175,263
51199,219
52223,158
53247,172
54271,191
55295,207
56319,180
57343,189
58367,132
59391,80
60415,68
61439,57
62463,59
63487,44
64511,43
65535,36
67583,60
69631,38
71679,44
73727,48
75775,39
77823,26
79871,27
81919,30
83967,17
86015,29
88063,22
90111,25
92159,18
94207,15
96255,9
98303,10
100351,15
102399,8
104447,5
106495,8
108543,9
110591,8
112639,4
114687,4
116735,3
118783,7
120831,2
122879,4
124927,3
126975,3
129023,4
131071,5
135167,4
139263,5
143359,3
147455,3
151551,3
155647,1
159743,2
163839,4
167935,5
172031,3
176127,2
180223,2
184319,6
188415,1
192511,1
200703,1
204799,2
208895,2
212991,2
217087,2
229375,1
233471,1
237567,1
249855,1
253951,1
278527,3
286719,1
294911,1
303103,1
311295,3
335871,3
344063,1
352255,2
401407,1
409599,3
417791,1
425983,1
442367,2
458751,2
573439,1
655359,1
688127,1
737279,1
1179647,1
1245183,1
2359295,1
5111807,1
