upper_ns,count
0,138358
17,7
18,13
41,15691
42,31151
58,19
59,31
60,1
83,7758
85,3877
101,22
125,2012
143,9
167,630
211,229
251,82
295,17
311,1
335,3
375,7
399,3
423,786
439,59
463,6600
479,130
503,9998
527,164
543,8017
559,90
575,69
591,7510
607,178
639,10362
655,247
671,12183
687,245
719,9534
735,231
751,9862
767,96
783,148
799,10208
815,265
847,9994
863,264
879,8443
895,223
927,6648
943,198
959,5658
975,34
991,127
1007,4557
1023,143
1055,3425
1087,2512
1119,69
1151,2262
1183,2947
1215,4958
1247,250
1279,6868
1311,6919
1343,5505
1375,4287
1407,161
1439,3080
1471,2301
1503,2247
1535,100
1567,2091
1599,1721
1631,1459
1663,63
1695,1182
1727,1268
1759,1244
1791,428
1823,752
1855,813
1887,522
1919,343
1951,15
1983,217
2015,189
2047,211
2111,321
2175,674
2239,246
2303,277
2367,68
2431,87
2495,27
2559,56
2623,19
2687,55
2751,51
2815,25
2879,51
2943,22
3007,23
3071,13
3135,33
3199,22
3263,38
3327,23
3391,41
3455,27
3519,44
3583,44
3647,34
3711,52
3775,30
3839,54
3903,28
3967,59
4031,20
4095,47
4223,61
4351,43
4479,38
4607,47
4735,28
4863,33
4991,35
5119,36
5247,37
5375,53
5503,39
5631,55
5759,54
5887,101
6015,146
6143,227
6271,309
6399,389
6527,523
6655,608
6783,691
6911,763
7039,769
7167,1022
7295,824
7423,784
7551,719
7679,659
7807,573
7935,472
8063,384
8191,304
8447,449
8703,305
8959,272
9215,191
9471,156
9727,141
9983,96
10239,88
10495,91
10751,102
11007,62
11263,82
11519,76
11775,69
12031,76
12287,75
12543,70
12799,52
13055,62
13311,42
13567,27
13823,40
14079,36
14335,32
14591,29
14847,20
15103,19
15359,21
15615,24
15871,23
16127,10
16383,15
16895,18
17407,26
17919,27
18431,22
18943,21
19455,14
19967,15
20479,11
20991,14
21503,13
22015,6
22527,11
23039,5
23551,9
24063,4
24575,5
25087,4
25599,6
26111,4
26623,4
27135,7
27647,2
28159,2
28671,1
29183,5
29695,2
30207,1
30719,3
31231,1
32255,1
32767,2
33791,6
34815,2
35839,1
36863,8
37887,2
38911,1
39935,3
40959,1
41983,1
43007,2
45055,1
46079,3
49151,2
50175,1
55295,1
57343,1
58367,1
63487,1
67583,1
75775,1
83967,1
499711,1
540671,1
